Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000668,Ventilating Fans - General,1,2023-01-11,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000669,Ventilating Fans - General,5,2018-10-01,48,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000670,Ventilating Fans - General,16,2007-08-03,67,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000671,Roof and Canopy Fall Protection Systems,6,2017-08-08,69,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000672,Roof and Canopy Fall Protection Systems,1,2023-01-21,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000673,Roof and Canopy Fall Protection Systems,1,2022-07-26,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000674,Roof and Canopy Fall Protection Systems,12,2011-07-24,41,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,5. Severe,COP-018,Cavendish Campus,Copland,Daniel Martinez,View
1000675,Roof and Canopy Fall Protection Systems,13,2011-01-23,28,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,4,5. Severe,COP-018,Cavendish Campus,Copland,Daniel Martinez,View
1000676,Suspended/Facade Access Equipment (SAE),1,2023-01-25,40,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,3. Moderate,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000677,Room Air Conditioners,2,2021-07-01,32,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,3. Moderate,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000678,Room Air Conditioners,2,2022-01-19,51,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,3. Moderate,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000679,Ventilating Fans - General,5,2018-05-04,48,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000680,Ventilating Fans - General,10,2013-10-24,44,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000681,Condensers - Air Cooled,10,2014-03-21,26,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000682,Condensers - Air Cooled,6,2018-03-06,30,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000683,Ventilating Fans - General,2,2021-06-17,57,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,2. Minor,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000684,Ventilating Fans - General,9,2015-01-05,51,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000685,Ventilating Fans - General,20,2004-02-24,40,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000686,Heat meter, calculator and temperature probes,4,2019-12-02,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000687,Heat meter, calculator and temperature probes,1,2023-04-04,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000688,Ventilating Fans - General,3,2020-05-08,62,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,2. Minor,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000689,Water Booster Pumps,12,2011-12-27,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000690,Sewage or Drainage Pumps Submersible,3,2020-05-15,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000691,Sewage or Drainage Pumps Submersible,4,2020-01-05,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-002,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000692,Photovoltaics,0,2024-01-25,48,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000693,Ventilating Fans - General,16,2007-08-15,59,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000694,Room Air Conditioners,1,2023-02-06,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000695,Ventilating Fans - General,17,2006-06-04,46,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000696,Air Handling Units - General,19,2004-05-16,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000697,Air Handling Units - General,13,2010-10-24,51,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000698,Air Handling Units - General,5,2018-12-23,71,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000699,Room Air Conditioners,4,2020-01-17,82,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000700,Meter Reading - Water,0,2023-06-29,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-US-003,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000701,Ventilating Fans - General,8,2015-05-01,79,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,2. Minor,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000702,Room Air Conditioners,10,2013-12-06,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,CAV-US-001,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000703,Cable and Track/Rail Based Safety Systems,3,2020-11-02,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,CAV-SC-019,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000704,Fluid Filled Transformer,27,1996-08-28,50,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,5. Severe,CAV-SC-019,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000705,Meter Reading - Water,18,2006-01-27,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-020,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000706,Meter Reading - Water,8,2015-08-16,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-020,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000707,Meter Reading - Water,14,2009-07-04,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-SC-020,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
